"Gym Name","Address","Phone","Email","Website","Martial Arts Styles","Description"
"Champions Gym - Highgate","Highgate, Perth","0481169801","membershighgate@championsgym.com.au","https://championsgym.com.au","Boxing, Muay Thai","Family owned since 2012. Highgate location situated 5 minutes from Perth CBD. Specializes in boxing and Muay Thai training with classes including Boxing, Muay Thai, Boxing Fundamentals, Muay Thai Fundamentals, Boxing 4 Fitness, Strength & Conditioning, and Personalised Training. Also offers teen boxing programs (ages 13-17)."
"Champions Gym - Myaree","Myaree, Perth","0481169801","membersmyaree@championsgym.com.au","https://championsgym.com.au","Boxing, Muay Thai","Family owned since 2012. Myaree location. Specializes in boxing and Muay Thai training with classes including Boxing, Muay Thai, Boxing Fundamentals, Muay Thai Fundamentals, Boxing 4 Fitness, Strength & Conditioning, and Personalised Training. Also offers teen boxing programs (ages 13-17)."
"Champions Gym - Joondalup","Joondalup, Perth","0481169801","joondalup@championsgym.com.au","https://championsgym.com.au","Boxing, Muay Thai","Family owned since 2012. Joondalup location. Specializes in boxing and Muay Thai training with classes including Boxing, Muay Thai, Boxing Fundamentals, Muay Thai Fundamentals, Boxing 4 Fitness, Strength & Conditioning, and Personalised Training. Also offers teen boxing programs (ages 13-17)."
"Aus Wing Chun Kung Fu Academy Perth","Mount Lawley and Joondalup locations","Contact via website","Contact via website","https://auswingchun.com","Wing Chun Kung Fu","Wing Chun academy with locations in Mount Lawley and Joondalup. Offers 5 session beginners introduction and 10 week intro programs. Emphasizes scientific principles and human motions over size and brute force. Free of egos and politics with relaxed, fun, professional teaching environment."
"Aikido School of Perth","Loftus Recreation Centre, Corner Loftus and Vincent Street, Leederville WA","Contact via website","Contact via website","https://www.aikidoperth.com.au","Aikido (Iwama Ryu)","Traditional Iwama Ryu Aikido training at Loftus Recreation Centre, 3km from Perth CBD. Combines empty handed defensive techniques with traditional Japanese weapons (Aiki-jo staff and Aiki-ken sword). Classes Sunday and Tuesday, plus early morning park training at Lake Jualbup. Children's classes (6-11 years) and adult classes (11-60 years) available. Head instructor: Peter Sceney."
"First Taekwondo - Albany","122 Grey Street, Albany WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Tuesday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Armadale","90 Jull St, Armadale WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Monday & Saturday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Bassendean","50 Old Perth Rd, Bassendean WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Monday & Wednesday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Ballajura","15 Hamelin Dr, Ballajura WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Tuesday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Beechboro","368 Benara Rd, Kiara WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Monday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Bedford","1 Catherine St, Bedford WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Monday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Bicton","120 Waddell Rd, Bicton WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Wednesday & Saturday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Brentwood","Cnr Moolyeen & Cranford Rd, Brentwood WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Tuesday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Canning Vale","Eastwood Parade, Canning Vale WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Tuesday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Churchlands","Lucca Street, Churchlands WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Tuesday & Friday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Clarkson","16 Walyunga Blvd, Clarkson WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Monday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Cockburn","770 North Lake Rd, South Lake WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Wednesday & Saturday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Como","Moresby Street, Como WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Wednesday & Saturday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Duncraig","Readshaw Rd, Duncraig WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Thursday & Saturday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Greenmount","Cnr Scott & Clayton St, Boya WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Wednesday & Saturday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Morley","Cnr Mickleham Rd & Hampton Sq, Morley WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Monday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Mt Lawley","65 First Ave, Mt Lawley WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Tuesday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Ocean Reef","Venturi Drive, Ocean Reef WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Monday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Subiaco","Cnr Nicholson & Rokeby Rd, Subiaco WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Tuesday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Thornlie","Ovens Road, Thornlie WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Monday & Wednesday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
"First Taekwondo - Woodvale","110 Woodvale Drive, Woodvale WA","08 9275 7878","info@firsttkd.com","https://www.firsttkd.com","Taekwondo","Traditional, non-competitive Taekwondo training. Classes Tuesday & Thursday. Instruction covers self-defense, fitness, coordination, flexibility, strength, discipline, and mental focus. Philosophy: Traditional Standards - Progressive Attitude."
